IdNumber,LocalFirstName,LocalLastName,EnglishFirstName,EnglishLastName,Phone,BirthDate,IsFemale,NationalRank,EuropeInternationalRank,YouthInternationalRank,IPIN,Country
999999998,מדורג,1,Player #1,Cohen,3334445554,1980-11-27,FALSE,1,4,24,ALB1000234,Israel
999999997,מדורג,2,Player#2,Cohen,3334445554,1980-11-27,FALSE,2,5,25,ALB1000235,Israel
999999996,מדורג,3,Player #2,Cohen,3334445554,1980-11-27,FALSE,3,6,26,ALB1000236,Israel
999999995,מדורג,4,Player#3,Cohen,3334445554,1980-11-27,FALSE,4,7,27,ALB1000237,Israel
999999994,מדורג,5,Player #3,Cohen,3334445554,1980-11-27,FALSE,5,8,28,ALB1000238,Israel
999999993,מדורג,6,Player#4,Cohen,3334445554,1980-11-27,FALSE,6,9,29,ALB1000239,Israel
999999992,מדורג,7,Player #4,Cohen,3334445554,1980-11-27,FALSE,7,10,30,ALB1000240,Israel
999999991,מדורג,8,Player#5,Cohen,3334445554,1980-11-27,FALSE,8,11,31,ALB1000241,Israel
999999990,מדורג,9,Player #2,Cohen,3334445554,1980-11-27,FALSE,9,12,32,ALB1000242,Israel
999999989,מדורג,10,Player#3,Cohen,3334445554,1980-11-27,FALSE,10,13,33,ALB1000243,Israel
999999988,מדורג,11,Player #3,Cohen,3334445554,1980-11-27,FALSE,11,14,34,ALB1000244,Israel
999999987,מדורג,12,Player#4,Cohen,3334445554,1980-11-27,FALSE,12,15,35,ALB1000245,Israel
999999986,מדורג,13,Player #4,Cohen,3334445554,1980-11-27,FALSE,13,16,36,ALB1000246,Israel
999999985,מדורג,14,Player#5,Cohen,3334445554,1980-11-27,FALSE,14,17,37,ALB1000247,Israel
999999984,מדורג,15,Player #5,Cohen,3334445554,1980-11-27,FALSE,15,18,38,ALB1000248,Israel
999999983,מדורג,16,Player #5,Cohen,3334445554,1980-11-27,FALSE,16,19,39,ALB1000249,Israel
