IdNumber,LocalFirstName,LocalLastName,EnglishFirstName,EnglishLastName,Phone,BirthDate,IsFemale,NationalRank,EuropeInternationalRank,YouthInternationalRank,IPIN,Country,Source,AverageScore,AccumulatedScore
999999998,מדורג,1,Player #1,Cohen,3334445554,1980-11-27,FALSE,1,4,24,ALB1000234,Israel,WC,45,156
999999997,מדורג,2,Player#2,Cohen,3334445554,1980-11-27,FALSE,2,5,25,ALB1000235,Israel,,45,156
999999996,מדורג,3,Player #2,Cohen,3334445554,1980-11-27,FALSE,3,6,26,ALB1000236,Israel,,45,156
999999995,מדורג,4,Player#3,Cohen,3334445554,1980-11-27,FALSE,4,7,27,ALB1000237,Israel,,45,156
999999994,מדורג,5,Player #3,Cohen,3334445554,1980-11-27,FALSE,5,8,28,ALB1000238,Israel,,45,156
999999993,מדורג,6,Player#4,Cohen,3334445554,1980-11-27,FALSE,6,9,29,ALB1000239,Israel,,45,156
999999992,מדורג,7,Player #4,Cohen,3334445554,1980-11-27,FALSE,7,10,30,ALB1000240,Israel,,45,156
999999991,מדורג,8,Player#5,Cohen,3334445554,1980-11-27,FALSE,8,11,31,ALB1000241,Israel,OSA,45,156
999999990,מדורג,9,Player #2,Cohen,3334445554,1980-11-27,FALSE,9,12,32,ALB1000242,Israel,,45,156
999999989,מדורג,10,Player#3,Cohen,3334445554,1980-11-27,FALSE,10,13,33,ALB1000243,Israel,,45,156
999999988,מדורג,11,Player #3,Cohen,3334445554,1980-11-27,FALSE,11,14,34,ALB1000244,Israel,,45,156
999999987,מדורג,12,Player#4,Cohen,3334445554,1980-11-27,FALSE,12,15,35,ALB1000245,Israel,,45,156
999999986,מדורג,13,Player #4,Cohen,3334445554,1980-11-27,FALSE,13,16,36,ALB1000246,Israel,WC,45,156
999999985,מדורג,14,Player#5,Cohen,3334445554,1980-11-27,FALSE,14,17,37,ALB1000247,Israel,,45,1256
999999984,מדורג,15,Player #5,Cohen,3334445554,1980-11-27,FALSE,15,18,38,ALB1000248,Israel,,45,1356
999999983,מדורג,16,Player #5,Cohen,3334445554,1980-11-27,FALSE,16,19,39,ALB1000249,Israel,,45,1546
999999982,מדורג,17,Player #2,Cohen,3334445554,1980-11-27,FALSE,17,20,40,ALB1000250,Israel,,45,1256
999999981,מדורג,18,Player#3,Cohen,3334445554,1980-11-27,FALSE,18,21,41,ALB1000251,Israel,,45,1456
999999980,מדורג,19,Player #3,Cohen,3334445554,1980-11-27,FALSE,19,22,42,ALB1000252,Israel,,45,2156
999999979,מדורג,20,Player#4,Cohen,3334445554,1980-11-27,FALSE,20,23,43,ALB1000253,Israel,,45,3156
999999978,מדורג,21,Player #4,Cohen,3334445554,1980-11-27,FALSE,21,24,44,ALB1000254,Israel,,45,41536
999999977,מדורג,22,Player#5,Cohen,3334445554,1980-11-27,FALSE,22,25,45,ALB1000255,Israel,,45,1526
999999976,מדורג,23,Player #5,Cohen,3334445554,1980-11-27,FALSE,23,26,46,ALB1000256,Israel,,45,1356
999999975,מדורג,24,Player#6,Cohen,3334445554,1980-11-27,FALSE,24,27,47,ALB1000257,Israel,,45,1546
999999974,מדורג,25,Player #3,Cohen,3334445554,1980-11-27,FALSE,25,28,48,ALB1000258,Israel,,45,15456
999999973,מדורג,26,Player#4,Cohen,3334445554,1980-11-27,FALSE,26,29,49,ALB1000259,Israel,,45,156
999999972,מדורג,27,Player #4,Cohen,3334445554,1980-11-27,FALSE,27,30,50,ALB1000260,Israel,,43,1564
999999971,מדורג,28,Player#5,Cohen,3334445554,1980-11-27,FALSE,28,31,51,ALB1000261,Israel,,43,1356
999999970,מדורג,29,Player #5,Cohen,3334445554,1980-11-27,FALSE,29,32,52,ALB1000262,Israel,,5,1546
999999969,מדורג,30,Player#6,Cohen,3334445554,1980-11-27,FALSE,30,33,53,ALB1000263,Israel,,65,1556
999999968,מדורג,31,Player #5,Cohen,3334445554,1980-11-27,FALSE,31,34,54,ALB1000264,Israel,,44,1566
999999967,מדורג,32,Player #2,Cohen,3334445554,1980-11-27,FALSE,32,35,55,ALB1000265,Israel,,35,1356
999999966,מדורג,33,Player #2,Cohen,3334445554,1980-11-27,FALSE,32,35,55,ALB1000265,Israel,,35,1356
999999965,מדורג,34,Player #2,Cohen,3334445554,1980-11-27,FALSE,32,35,55,ALB1000265,Israel,,35,1356
999999964,מדורג,35,Player #2,Cohen,3334445554,1980-11-27,FALSE,32,35,55,ALB1000265,Israel,,35,1356
999999963,מדורג,36,Player #2,Cohen,3334445554,1980-11-27,FALSE,32,35,55,ALB1000265,Israel,,35,1356
999999962,מדורג,37,Player #2,Cohen,3334445554,1980-11-27,FALSE,32,35,55,ALB1000265,Israel,,35,1356
999999961,מדורג,38,Player #2,Cohen,3334445554,1980-11-27,FALSE,32,35,55,ALB1000265,Israel,,35,1356
999999960,מדורג,39,Player #2,Cohen,3334445554,1980-11-27,FALSE,32,35,55,ALB1000265,Israel,,35,1356
999999959,מדורג,40,Player #2,Cohen,3334445554,1980-11-27,FALSE,32,35,55,ALB1000265,Israel,,35,1356

