IdNumber,LocalFirstName,LocalLastName,EnglishFirstName,EnglishLastName,Phone,BirthDate,IsFemale,NationalRank,EuropeInternationalRank,YouthInternationalRank,IPIN,Country
123465789,שחקן 1,כהן,Player #1,Cohen,3334445554,1980-11-27,FALSE,1,4,24,ALB1000234,Israel
987654321,שחקן 2,כהן,Player#2,Cohen,3334445554,1980-11-27,FALSE,2,5,25,ALB1000235,Israel
1,שחקן 3,כהן,Player #2,Cohen,3334445554,1980-11-27,FALSE,3,6,26,ALB1000236,Israel
2,שחקן 4,כהן,Player#3,Cohen,3334445554,1980-11-27,FALSE,4,7,27,ALB1000237,Israel
3,שחקן 5,כהן,Player #3,Cohen,3334445554,1980-11-27,FALSE,5,8,28,ALB1000238,Israel
4,שחקן 6,כהן,Player#4,Cohen,3334445554,1980-11-27,FALSE,6,9,29,ALB1000239,Israel
5,שחקן 7,כהן,Player #4,Cohen,3334445554,1980-11-27,FALSE,7,10,30,ALB1000240,Israel
6,שחקן 8,כהן,Player#5,Cohen,3334445554,1980-11-27,FALSE,8,11,31,ALB1000241,Israel
7,שחקן 9,כהן,Player #5,Cohen,3334445554,1980-11-27,FALSE,9,12,32,ALB1000242,Israel
8,שחקן 10,כהן,Player#6,Cohen,3334445554,1980-11-27,FALSE,10,13,33,ALB1000243,Israel
9,שחקן 11,כהן,Player #6,Cohen,3334445554,1980-11-27,FALSE,11,14,34,ALB1000244,Israel
10,שחקן 12,כהן,Player#7,Cohen,3334445554,1980-11-27,FALSE,12,15,35,ALB1000245,Israel
11,שחקן 13,כהן,Player #7,Cohen,3334445554,1980-11-27,FALSE,13,16,36,ALB1000246,Israel
12,שחקן 14,כהן,Player#8,Cohen,3334445554,1980-11-27,FALSE,14,17,37,ALB1000247,Israel
13,שחקן 15,כהן,Player #8,Cohen,3334445554,1980-11-27,FALSE,15,18,38,ALB1000248,Israel
14,שחקן 16,כהן,Player#9,Cohen,3334445554,1980-11-27,FALSE,16,19,39,ALB1000249,Israel
15,שחקן 17,כהן,Player #9,Cohen,3334445554,1980-11-27,FALSE,17,20,40,ALB1000250,Israel
16,שחקן 18,כהן,Player#10,Cohen,3334445554,1980-11-27,FALSE,18,21,41,ALB1000251,Israel
17,שחקן 19,כהן,Player #10,Cohen,3334445554,1980-11-27,FALSE,19,22,42,ALB1000252,Israel
18,שחקן 20,כהן,Player#11,Cohen,3334445554,1980-11-27,FALSE,20,23,43,ALB1000253,Israel
19,שחקן 21,כהן,Player #11,Cohen,3334445554,1980-11-27,FALSE,21,24,44,ALB1000254,Israel
20,שחקן 22,כהן,Player#12,Cohen,3334445554,1980-11-27,FALSE,22,25,45,ALB1000255,Israel
21,שחקן 23,כהן,Player #12,Cohen,3334445554,1980-11-27,FALSE,23,26,46,ALB1000256,Israel
22,שחקן 24,כהן,Player#13,Cohen,3334445554,1980-11-27,FALSE,24,27,47,ALB1000257,Israel
